%     Depth,Temperature_,TC_m,RHOC_m,PHI,    RHOB,TC_m_min,TC_m_max,RHOC_m_miD,RHOC_m_max,    TC.log,      RHOC.log,       RHP,,
%         m,          °C,W/(mK),kJ/(m³K),n/n,g/cm³,    W/(mK),    W/(mK),kJ/(m³K),kJ/(m³K),    W/(mK),   kJ/(m³K),     µW/m³,,
96,11.445,3.495,2.334,0.146,2.409,2.971,4.020,1.984,2.685,2.704,2.600,0.413,,
96.5,11.490,3.256,2.024,0.146,2.409,2.767,3.744,1.720,2.327,2.545,2.335,0.370,,
97,11.520,2.865,1.884,0.146,2.409,2.435,3.295,1.601,2.166,2.282,2.215,0.418,,
97.5,11.540,2.797,2.780,0.146,2.409,2.377,3.216,2.363,3.197,2.235,2.980,0.649,,
98,11.560,2.674,2.838,0.146,2.409,2.273,3.076,2.413,3.264,2.151,3.030,0.684,,
98.5,11.570,2.627,2.886,0.146,2.409,2.233,3.022,2.453,3.319,2.119,3.071,0.697,,
99,11.570,2.886,3.626,0.146,2.409,2.453,3.318,3.082,4.170,2.296,3.703,0.758,,
99.5,11.580,3.180,3.926,0.146,2.409,2.703,3.657,3.337,4.515,2.494,3.959,0.751,,
100,11.580,3.629,3.482,0.146,2.409,3.085,4.174,2.960,4.004,2.792,3.580,0.622,,
100.5,11.580,4.303,3.188,0.146,2.409,3.658,4.949,2.710,3.667,3.229,3.329,0.469,,
101,11.570,5.803,2.061,0.270,2.205,4.932,6.673,1.752,2.370,3.150,2.625,0.280,,
101.5,11.570,6.006,1.719,0.270,2.205,5.105,6.907,1.461,1.977,3.230,2.375,0.150,,
102,11.570,5.976,1.755,0.270,2.205,5.079,6.872,1.492,2.019,3.218,2.402,0.162,,
102.5,11.560,5.822,1.623,0.270,2.205,4.949,6.696,1.379,1.866,3.158,2.305,0.143,,
103,11.570,5.839,1.629,0.270,2.205,4.963,6.715,1.385,1.874,3.165,2.310,0.144,,
103.5,11.560,6.055,1.812,0.270,2.205,5.147,6.964,1.540,2.084,3.250,2.443,0.176,,
104,11.560,5.946,1.743,0.270,2.205,5.054,6.838,1.482,2.005,3.207,2.393,0.164,,
104.5,11.560,5.896,1.652,0.270,2.205,5.012,6.781,1.404,1.900,3.187,2.326,0.138,,
105,11.567,6.134,1.769,0.270,2.205,5.214,7.054,1.504,2.035,3.281,2.412,0.153,,
105.5,11.570,5.964,1.702,0.270,2.205,5.069,6.859,1.447,1.958,3.214,2.363,0.146,,
106,11.570,5.756,1.529,0.270,2.205,4.893,6.620,1.300,1.759,3.132,2.237,0.114,,
106.5,11.570,5.820,1.668,0.270,2.205,4.947,6.693,1.418,1.919,3.157,2.338,0.157,,
107,11.580,5.807,1.761,0.270,2.205,4.936,6.678,1.497,2.025,3.152,2.406,0.187,,
107.5,11.580,5.808,1.712,0.270,2.205,4.937,6.679,1.455,1.969,3.152,2.370,0.174,,
108,11.590,5.680,1.684,0.270,2.205,4.828,6.532,1.431,1.936,3.101,2.350,0.180,,
108.5,11.590,5.869,1.761,0.270,2.205,4.989,6.749,1.497,2.026,3.176,2.406,0.186,,
109,11.590,5.709,1.745,0.270,2.205,4.852,6.565,1.483,2.007,3.113,2.394,0.199,,
109.5,11.600,6.116,1.837,0.270,2.205,5.198,7.033,1.561,2.112,3.273,2.461,0.171,,
110,11.600,5.821,1.792,0.270,2.205,4.948,6.694,1.523,2.061,3.157,2.429,0.198,,
110.5,11.600,6.003,1.625,0.270,2.205,5.103,6.904,1.381,1.868,3.229,2.307,0.113,,
111,11.610,6.217,1.877,0.270,2.205,5.285,7.150,1.596,2.159,3.313,2.491,0.174,,
111.5,11.610,6.167,1.734,0.270,2.205,5.242,7.092,1.474,1.994,3.293,2.386,0.135,,
112,11.620,6.120,1.602,0.270,2.205,5.202,7.038,1.362,1.843,3.275,2.290,0.089,,
112.5,11.620,6.308,1.695,0.270,2.205,5.362,7.255,1.441,1.949,3.348,2.358,0.100,,
113,11.620,6.083,1.633,0.270,2.205,5.171,6.995,1.388,1.878,3.261,2.312,0.111,,
113.5,11.630,6.049,1.512,0.270,2.205,5.142,6.956,1.285,1.739,3.247,2.224,0.070,,
114,11.630,6.275,1.729,0.270,2.205,5.334,7.217,1.469,1.988,3.335,2.382,0.117,,
114.5,11.640,6.076,1.676,0.270,2.205,5.165,6.988,1.424,1.927,3.258,2.344,0.126,,
115,11.650,6.084,1.546,0.270,2.205,5.172,6.997,1.314,1.778,3.261,2.249,0.077,,
115.5,11.650,6.067,1.649,0.270,2.205,5.157,6.977,1.402,1.897,3.254,2.325,0.120,,
116,11.653,5.990,1.620,0.270,2.205,5.092,6.889,1.377,1.863,3.224,2.303,0.119,,
116.5,11.660,5.965,1.633,0.270,2.205,5.071,6.860,1.388,1.878,3.214,2.312,0.124,,
117,11.670,6.153,1.752,0.270,2.205,5.230,7.075,1.490,2.015,3.288,2.400,0.140,,
117.5,11.680,6.002,1.693,0.270,2.205,5.102,6.902,1.439,1.947,3.229,2.357,0.144,,
118,11.690,6.071,1.628,0.270,2.205,5.161,6.982,1.384,1.873,3.256,2.309,0.107,,
118.5,11.690,6.076,1.699,0.270,2.205,5.165,6.988,1.444,1.954,3.258,2.361,0.134,,
119,11.710,5.967,1.633,0.270,2.205,5.072,6.862,1.388,1.878,3.215,2.313,0.125,,
119.5,11.720,6.079,1.654,0.270,2.205,5.167,6.991,1.406,1.902,3.259,2.328,0.120,,
120,11.730,6.217,1.778,0.270,2.205,5.285,7.150,1.511,2.044,3.313,2.418,0.143,,
120.5,11.745,6.214,1.729,0.270,2.205,5.282,7.147,1.470,1.988,3.312,2.383,0.127,,
121,11.760,6.237,1.646,0.270,2.205,5.301,7.172,1.399,1.893,3.321,2.322,0.094,,
121.5,11.770,6.107,1.597,0.270,2.205,5.191,7.023,1.358,1.837,3.270,2.287,0.094,,
122,11.790,5.997,1.535,0.270,2.205,5.097,6.896,1.304,1.765,3.227,2.241,0.087,,
122.5,11.810,5.986,1.618,0.270,2.205,5.088,6.884,1.376,1.861,3.223,2.302,0.114,,
123,11.830,5.955,1.629,0.270,2.205,5.062,6.848,1.384,1.873,3.210,2.310,0.122,,
