% DEPTH	TEMP
8.29	-61.95
8.29	-62
8.29	-62.05
8.3	-62.1
8.3	-62.15
8.29	-62.2
8.29	-62.25
8.29	-62.3
8.29	-62.35
8.29	-62.4
8.29	-62.45
8.29	-62.5
8.29	-62.55
8.3	-62.6
8.3	-62.65
8.3	-62.7
8.3	-62.75
8.29	-62.8
8.3	-62.85
8.29	-62.9
8.29	-62.95
8.29	-63
8.28	-63.05
8.27	-63.1
8.27	-63.15
8.28	-63.2
8.29	-63.25
8.29	-63.3
8.29	-63.35
8.29	-63.4
8.29	-63.45
8.28	-63.5
8.28	-63.55
8.28	-63.6
8.29	-63.65
8.3	-63.7
8.3	-63.75
8.3	-63.8
8.29	-63.85
8.28	-63.9
8.28	-63.95
8.28	-64
8.29	-64.05
8.28	-64.1
8.28	-64.15
8.29	-64.2
8.29	-64.25
8.28	-64.3
8.28	-64.35
8.28	-64.4
8.29	-64.45
8.29	-64.5
8.28	-64.55
8.28	-64.6
8.3	-64.65
8.29	-64.7
8.3	-64.75
8.29	-64.8
8.29	-64.85
8.29	-64.9
8.29	-64.95
8.29	-65
8.28	-65.05
8.28	-65.1
8.28	-65.15
8.29	-65.2
8.29	-65.25
8.3	-65.3
8.3	-65.35
8.3	-65.4
8.29	-65.45
8.29	-65.5
8.29	-65.55
8.29	-65.6
8.29	-65.65
8.27	-65.7
8.28	-65.75
8.28	-65.8
8.28	-65.85
8.29	-65.9
8.3	-65.95
8.3	-66
8.3	-66.05
8.3	-66.1
8.3	-66.15
8.29	-66.2
8.29	-66.25
8.29	-66.3
8.3	-66.35
8.3	-66.4
8.3	-66.45
8.3	-66.5
8.3	-66.55
8.29	-66.6
8.28	-66.65
8.28	-66.7
8.29	-66.75
8.3	-66.8
8.29	-66.85
8.29	-66.9
8.29	-66.95
8.29	-67
8.29	-67.05
8.29	-67.1
8.29	-67.15
8.3	-67.2
8.3	-67.25
8.29	-67.3
8.29	-67.35
8.29	-67.4
8.3	-67.45
8.29	-67.5
8.28	-67.55
8.28	-67.6
8.29	-67.65
8.3	-67.7
8.31	-67.75
8.31	-67.8
8.29	-67.85
8.29	-67.9
8.28	-67.95
8.28	-68
8.28	-68.05
8.29	-68.1
8.3	-68.15
8.3	-68.2
8.3	-68.25
8.3	-68.3
8.29	-68.35
8.29	-68.4
8.29	-68.45
8.28	-68.5
8.28	-68.55
8.28	-68.6
8.29	-68.65
8.29	-68.7
8.29	-68.75
8.3	-68.8
8.3	-68.85
8.29	-68.9
8.29	-68.95
8.3	-69
8.29	-69.05
8.28	-69.1
8.29	-69.15
8.28	-69.2
8.29	-69.25
8.29	-69.3
8.31	-69.35
8.3	-69.4
8.29	-69.45
8.29	-69.5
8.29	-69.55
8.31	-69.6
8.3	-69.65
8.29	-69.7
8.3	-69.75
8.3	-69.8
8.3	-69.85
8.29	-69.9
8.31	-69.95
8.31	-70
8.3	-70.05
8.29	-70.1
8.3	-70.15
8.3	-70.2
8.31	-70.25
8.3	-70.3
8.31	-70.35
8.31	-70.4
8.3	-70.45
8.31	-70.5
8.31	-70.55
8.3	-70.6
8.3	-70.65
8.3	-70.7
8.31	-70.75
8.3	-70.8
8.3	-70.85
8.31	-70.9
8.3	-70.95
8.29	-71
8.29	-71.05
8.29	-71.1
8.3	-71.15
8.31	-71.2
8.3	-71.25
8.29	-71.3
8.28	-71.35
8.29	-71.4
8.31	-71.45
8.31	-71.5
8.3	-71.55
8.3	-71.6
8.3	-71.65
8.3	-71.7
8.3	-71.75
8.3	-71.8
8.3	-71.85
8.29	-71.9
8.3	-71.95
8.31	-72
8.3	-72.05
8.3	-72.1
8.31	-72.15
8.31	-72.2
8.3	-72.25
8.31	-72.3
8.32	-72.35
8.32	-72.4
8.3	-72.45
8.3	-72.5
8.32	-72.55
8.32	-72.6
8.32	-72.65
8.32	-72.7
8.31	-72.75
8.3	-72.8
8.3	-72.85
8.31	-72.9
8.32	-72.95
8.32	-73
8.32	-73.05
8.31	-73.1
8.3	-73.15
8.3	-73.2
8.3	-73.25
8.31	-73.3
8.3	-73.35
8.3	-73.4
8.31	-73.45
8.31	-73.5
8.31	-73.55
8.31	-73.6
8.3	-73.65
8.3	-73.7
8.3	-73.75
8.31	-73.8
8.3	-73.85
8.3	-73.9
8.3	-73.95
8.3	-74
8.3	-74.05
8.31	-74.1
8.31	-74.15
8.31	-74.2
8.31	-74.25
8.32	-74.3
8.31	-74.35
8.3	-74.4
8.31	-74.45
8.32	-74.5
8.32	-74.55
8.31	-74.6
8.31	-74.65
8.32	-74.7
8.32	-74.75
8.32	-74.8
8.32	-74.85
8.31	-74.9
8.31	-74.95
8.31	-75
8.3	-75.05
8.3	-75.1
8.31	-75.15
8.31	-75.2
8.31	-75.25
8.31	-75.3
8.32	-75.35
8.31	-75.4
8.3	-75.45
8.31	-75.5
8.31	-75.55
8.32	-75.6
8.32	-75.65
8.31	-75.7
8.31	-75.75
8.31	-75.8
8.32	-75.85
8.32	-75.9
8.31	-75.95
8.3	-76
8.31	-76.05
8.32	-76.1
8.32	-76.15
8.31	-76.2
8.3	-76.25
8.3	-76.3
8.31	-76.35
8.31	-76.4
8.32	-76.45
8.31	-76.5
8.31	-76.55
8.32	-76.6
8.32	-76.65
8.32	-76.7
8.31	-76.75
8.3	-76.8
8.32	-76.85
8.33	-76.9
8.32	-76.95
8.32	-77
8.31	-77.05
8.3	-77.1
8.3	-77.15
8.32	-77.2
8.32	-77.25
8.31	-77.3
8.31	-77.35
8.31	-77.4
8.32	-77.45
8.32	-77.5
8.32	-77.55
8.31	-77.6
8.31	-77.65
8.33	-77.7
8.34	-77.75
8.31	-77.8
8.3	-77.85
8.31	-77.9
8.31	-77.95
8.32	-78
8.32	-78.05
8.31	-78.1
8.3	-78.15
8.3	-78.2
8.31	-78.25
8.31	-78.3
8.31	-78.35
8.32	-78.4
8.32	-78.45
8.32	-78.5
8.31	-78.55
8.31	-78.6
8.32	-78.65
8.32	-78.7
8.33	-78.75
8.33	-78.8
8.33	-78.85
8.33	-78.9
8.32	-78.95
8.32	-79
8.33	-79.05
8.33	-79.1
8.32	-79.15
8.33	-79.2
8.33	-79.25
8.33	-79.3
8.33	-79.35
8.33	-79.4
8.33	-79.45
8.33	-79.5
8.33	-79.55
8.34	-79.6
8.34	-79.65
8.34	-79.7
8.33	-79.75
8.33	-79.8
8.33	-79.85
8.33	-79.9
8.32	-79.95
8.32	-80
8.33	-80.05
8.34	-80.1
8.34	-80.15
8.34	-80.2
8.33	-80.25
8.31	-80.3
8.31	-80.35
8.33	-80.4
8.33	-80.45
8.33	-80.5
8.33	-80.55
8.33	-80.6
8.34	-80.65
8.35	-80.7
8.34	-80.75
8.33	-80.8
8.34	-80.85
8.33	-80.9
8.32	-80.95
8.33	-81
8.34	-81.05
8.35	-81.1
8.35	-81.15
8.33	-81.2
8.31	-81.25
8.32	-81.3
8.33	-81.35
8.34	-81.4
8.34	-81.45
8.34	-81.5
8.34	-81.55
8.34	-81.6
8.34	-81.65
8.35	-81.7
8.35	-81.75
8.34	-81.8
8.33	-81.85
8.33	-81.9
8.34	-81.95
8.33	-82
8.34	-82.05
8.34	-82.1
8.35	-82.15
8.35	-82.2
