%     Depth,Temperature_,TC_m,RHOC_m,PHI,    RHOB,TC_m_min,TC_m_max,RHOC_m_miD,RHOC_m_max,TC.log	,      RHOC.log,RHP
%         m,          °C,W/(mK),kJ/(m³K),n/n,g/cm³,    W/(mK),    W/(mK),kJ/(m³K),kJ/(m³K),W/(mK)	,   kJ/(m³K),µW/m³	
91,10.36,3.922,2.238,0.05,2.568,3.334,4.511,1.902,2.574,3.572,2.334,-0.059
91.5,10.37,3.861,2.237,0.05,2.568,3.282,4.441,1.902,2.573,3.519,2.333,-0.032
92,10.37,3.882,2.238,0.05,2.568,3.3,4.464,1.902,2.573,3.537,2.333,-0.041
92.5,10.4,3.921,2.238,0.05,2.568,3.333,4.51,1.902,2.574,3.571,2.334,-0.059
93,10.4,3.909,2.238,0.05,2.568,3.323,4.495,1.902,2.574,3.56,2.334,-0.053
93.5,10.42,3.884,2.238,0.05,2.568,3.301,4.466,1.902,2.573,3.539,2.333,-0.042
94,10.42,3.858,2.237,0.05,2.568,3.28,4.437,1.902,2.573,3.517,2.333,-0.031
94.5,10.44,3.833,2.237,0.05,2.568,3.258,4.408,1.902,2.573,3.495,2.333,-0.02
95,10.44,3.808,2.237,0.05,2.568,3.237,4.379,1.901,2.572,3.473,2.333,-0.009
95.5,10.47,3.783,2.237,0.05,2.568,3.215,4.35,1.901,2.572,3.451,2.332,0.002
96,10.47,3.757,2.236,0.05,2.568,3.194,4.321,1.901,2.572,3.429,2.332,0.013
96.5,10.5,3.732,2.236,0.05,2.568,3.172,4.292,1.901,2.571,3.407,2.332,0.024
97,10.5,3.711,2.236,0.05,2.568,3.154,4.268,1.9,2.571,3.389,2.331,0.033
97.5,10.52,3.744,2.236,0.05,2.568,3.183,4.306,1.901,2.572,3.418,2.332,0.019
98,10.52,3.778,2.237,0.05,2.568,3.211,4.345,1.901,2.572,3.447,2.332,0.004
98.5,10.55,3.81,2.237,0.05,2.568,3.238,4.381,1.901,2.572,3.474,2.333,-0.01
99,10.55,3.832,2.237,0.05,2.568,3.257,4.407,1.902,2.573,3.494,2.333,-0.02
99.5,10.57,3.854,2.237,0.05,2.568,3.276,4.432,1.902,2.573,3.513,2.333,-0.029
100,10.57,3.839,2.237,0.05,2.568,3.263,4.414,1.902,2.573,3.5,2.333,-0.022
100.5,10.59,3.815,2.237,0.05,2.568,3.242,4.387,1.901,2.573,3.479,2.333,-0.012
101,10.59,3.847,2.237,0.05,2.568,3.27,4.424,1.902,2.573,3.507,2.333,-0.026
101.5,10.62,3.894,2.238,0.05,2.568,3.31,4.478,1.902,2.574,3.548,2.333,-0.047
102,10.62,3.921,2.238,0.05,2.568,3.333,4.509,1.902,2.574,3.571,2.334,-0.058
102.5,10.65,3.854,2.237,0.05,2.568,3.276,4.432,1.902,2.573,3.513,2.333,-0.029
103,10.65,3.786,2.237,0.05,2.568,3.218,4.354,1.901,2.572,3.454,2.332,0
103.5,10.67,3.753,2.236,0.05,2.568,3.19,4.316,1.901,2.572,3.425,2.332,0.015
104,10.67,3.734,2.236,0.05,2.568,3.174,4.294,1.901,2.571,3.409,2.332,0.023
104.5,10.69,3.716,2.236,0.05,2.568,3.158,4.273,1.9,2.571,3.393,2.332,0.031
105,10.69,3.697,2.236,0.05,2.568,3.142,4.252,1.9,2.571,3.377,2.331,0.039
105.5,10.72,3.678,2.235,0.05,2.568,3.127,4.23,1.9,2.571,3.361,2.331,0.047
106,10.72,3.666,2.235,0.05,2.568,3.116,4.216,1.9,2.57,3.35,2.331,0.053
106.5,10.74,3.676,2.235,0.05,2.568,3.124,4.227,1.9,2.571,3.358,2.331,0.048
107,10.74,3.647,2.235,0.05,2.568,3.1,4.194,1.9,2.57,3.334,2.331,0.061
107.5,10.76,3.558,2.234,0.05,2.568,3.024,4.091,1.899,2.569,3.256,2.33,0.1
108,10.76,3.468,2.233,0.05,2.568,2.948,3.988,1.898,2.568,3.178,2.329,0.139
108.5,10.78,3.547,2.234,0.05,2.568,3.015,4.079,1.899,2.569,3.247,2.33,0.105
109,10.78,3.649,2.235,0.05,2.568,3.102,4.196,1.9,2.57,3.335,2.331,0.06
109.5,10.8,3.751,2.236,0.05,2.568,3.188,4.313,1.901,2.572,3.424,2.332,0.016
