%     Depth,Temperature_,TC_m,RHOC_m,PHI,    RHOB,TC_m_min,TC_m_max,RHOC_m_miD,RHOC_m_max,TC.log	,      RHOC.log,RHP
%         m,          °C,W/(mK),kJ/(m³K),n/n,g/cm³,    W/(mK),    W/(mK),kJ/(m³K),kJ/(m³K),W/(mK)	,   kJ/(m³K),µW/m³	
126,11.14,3.837,2.237,0.05,2.568,3.262,4.413,1.902,2.573,3.499,2.333,-0.022
126.5,11.18,3.823,2.237,0.05,2.568,3.25,4.397,1.901,2.573,3.486,2.333,-0.016
127,11.18,3.82,2.237,0.05,2.568,3.247,4.393,1.901,2.573,3.484,2.333,-0.015
127.5,11.21,3.817,2.237,0.05,2.568,3.245,4.39,1.901,2.573,3.481,2.333,-0.013
128,11.21,3.816,2.237,0.05,2.568,3.244,4.389,1.901,2.573,3.48,2.333,-0.013
128.5,11.25,3.816,2.237,0.05,2.568,3.244,4.389,1.901,2.573,3.48,2.333,-0.013
129,11.25,3.816,2.237,0.05,2.568,3.244,4.389,1.901,2.573,3.48,2.333,-0.013
129.5,11.28,3.841,2.237,0.05,2.568,3.265,4.417,1.902,2.573,3.501,2.333,-0.023
130,11.28,3.889,2.238,0.05,2.568,3.305,4.472,1.902,2.573,3.543,2.333,-0.044
130.5,11.3,3.937,2.238,0.05,2.568,3.346,4.527,1.903,2.574,3.585,2.334,-0.065
131,11.3,3.985,2.239,0.05,2.568,3.387,4.582,1.903,2.575,3.626,2.334,-0.086
131.5,11.33,4.033,2.239,0.05,2.568,3.428,4.638,1.903,2.575,3.668,2.335,-0.107
132,11.33,4.047,2.239,0.05,2.568,3.44,4.654,1.904,2.575,3.68,2.335,-0.113
132.5,11.37,4.004,2.239,0.05,2.568,3.404,4.605,1.903,2.575,3.643,2.335,-0.094
133,11.37,3.961,2.239,0.05,2.568,3.367,4.555,1.903,2.574,3.606,2.334,-0.076
133.5,11.39,3.918,2.238,0.05,2.568,3.331,4.506,1.902,2.574,3.569,2.334,-0.057
134,11.39,3.875,2.238,0.05,2.568,3.294,4.457,1.902,2.573,3.532,2.333,-0.039
134.5,11.42,3.833,2.237,0.05,2.568,3.258,4.407,1.902,2.573,3.494,2.333,-0.02
135,11.42,3.79,2.237,0.05,2.568,3.221,4.358,1.901,2.572,3.457,2.332,-0.001
135.5,11.45,3.756,2.236,0.05,2.568,3.193,4.32,1.901,2.572,3.428,2.332,0.013
136,11.45,3.738,2.236,0.05,2.568,3.177,4.298,1.901,2.571,3.412,2.332,0.021
136.5,11.47,3.719,2.236,0.05,2.568,3.161,4.277,1.9,2.571,3.396,2.332,0.029
137,11.47,3.764,2.236,0.05,2.568,3.2,4.329,1.901,2.572,3.435,2.332,0.01
137.5,11.5,3.832,2.237,0.05,2.568,3.257,4.407,1.902,2.573,3.494,2.333,-0.02
138,11.5,3.9,2.238,0.05,2.568,3.315,4.485,1.902,2.574,3.553,2.334,-0.049
138.5,11.52,3.968,2.239,0.05,2.568,3.373,4.563,1.903,2.574,3.612,2.334,-0.079
139,11.52,3.99,2.239,0.05,2.568,3.392,4.589,1.903,2.575,3.631,2.334,-0.088
139.5,11.54,3.94,2.238,0.05,2.568,3.349,4.531,1.903,2.574,3.588,2.334,-0.067
140,11.54,3.936,2.238,0.05,2.568,3.346,4.526,1.903,2.574,3.584,2.334,-0.065
140.5,11.57,3.935,2.238,0.05,2.568,3.345,4.525,1.903,2.574,3.583,2.334,-0.064
141,11.57,3.874,2.238,0.05,2.568,3.293,4.455,1.902,2.573,3.53,2.333,-0.038
141.5,11.6,3.908,2.238,0.05,2.568,3.322,4.495,1.902,2.574,3.56,2.334,-0.053
142,11.6,4.002,2.239,0.05,2.568,3.402,4.602,1.903,2.575,3.641,2.335,-0.093
142.5,11.63,4.014,2.239,0.05,2.568,3.412,4.616,1.903,2.575,3.651,2.335,-0.099
143,11.63,3.958,2.239,0.05,2.568,3.364,4.551,1.903,2.574,3.603,2.334,-0.074
143.5,11.65,3.901,2.238,0.05,2.568,3.316,4.486,1.902,2.574,3.554,2.334,-0.05
144,11.65,3.845,2.237,0.05,2.568,3.268,4.422,1.902,2.573,3.505,2.333,-0.025
144.5,11.68,3.837,2.237,0.05,2.568,3.261,4.412,1.902,2.573,3.498,2.333,-0.022
145,11.68,3.867,2.238,0.05,2.568,3.287,4.447,1.902,2.573,3.524,2.333,-0.035
145.5,11.7,3.888,2.238,0.05,2.568,3.305,4.471,1.902,2.573,3.542,2.333,-0.044
146,11.7,3.909,2.238,0.05,2.568,3.323,4.495,1.902,2.574,3.56,2.334,-0.053
146.5,11.73,3.913,2.238,0.05,2.568,3.326,4.5,1.902,2.574,3.564,2.334,-0.055
147,11.73,3.896,2.238,0.05,2.568,3.312,4.481,1.902,2.574,3.55,2.333,-0.048
147.5,11.75,3.879,2.238,0.05,2.568,3.298,4.461,1.902,2.573,3.535,2.333,-0.04
148,11.75,3.862,2.237,0.05,2.568,3.283,4.442,1.902,2.573,3.52,2.333,-0.033
148.5,11.77,3.845,2.237,0.05,2.568,3.269,4.422,1.902,2.573,3.506,2.333,-0.025
149,11.77,3.829,2.237,0.05,2.568,3.254,4.403,1.902,2.573,3.491,2.333,-0.018
149.5,11.8,3.817,2.237,0.05,2.568,3.244,4.389,1.901,2.573,3.481,2.333,-0.013
150,11.8,3.829,2.237,0.05,2.568,3.255,4.404,1.902,2.573,3.491,2.333,-0.018
150.5,11.82,3.841,2.237,0.05,2.568,3.265,4.417,1.902,2.573,3.502,2.333,-0.024
151,11.82,3.842,2.237,0.05,2.568,3.266,4.418,1.902,2.573,3.502,2.333,-0.024
151.5,11.84,3.814,2.237,0.05,2.568,3.242,4.386,1.901,2.572,3.479,2.333,-0.012
152,11.84,3.787,2.237,0.05,2.568,3.219,4.355,1.901,2.572,3.455,2.332,0
152.5,11.87,3.785,2.237,0.05,2.568,3.217,4.353,1.901,2.572,3.453,2.332,0.001
153,11.87,3.792,2.237,0.05,2.568,3.223,4.361,1.901,2.572,3.459,2.332,-0.002
153.5,11.9,3.8,2.237,0.05,2.568,3.23,4.37,1.901,2.572,3.466,2.332,-0.006
154,11.9,3.802,2.237,0.05,2.568,3.232,4.372,1.901,2.572,3.468,2.332,-0.007
154.5,11.92,3.785,2.237,0.05,2.568,3.218,4.353,1.901,2.572,3.453,2.332,0.001
155,11.92,3.768,2.236,0.05,2.568,3.203,4.334,1.901,2.572,3.439,2.332,0.008
155.5,11.94,3.752,2.236,0.05,2.568,3.189,4.315,1.901,2.572,3.424,2.332,0.015
156,11.94,3.748,2.236,0.05,2.568,3.186,4.31,1.901,2.572,3.421,2.332,0.017
156.5,11.97,3.757,2.236,0.05,2.568,3.193,4.32,1.901,2.572,3.429,2.332,0.013
157,11.97,3.765,2.236,0.05,2.568,3.201,4.33,1.901,2.572,3.436,2.332,0.009
157.5,11.99,3.774,2.236,0.05,2.568,3.208,4.34,1.901,2.572,3.443,2.332,0.006
158,11.99,3.826,2.237,0.05,2.568,3.252,4.399,1.902,2.573,3.488,2.333,-0.017
158.5,12.02,3.881,2.238,0.05,2.568,3.299,4.463,1.902,2.573,3.536,2.333,-0.041
159,12.02,3.936,2.238,0.05,2.568,3.346,4.527,1.903,2.574,3.584,2.334,-0.065
159.5,12.05,3.969,2.239,0.05,2.568,3.373,4.564,1.903,2.574,3.612,2.334,-0.079
160,12.05,3.938,2.238,0.05,2.568,3.347,4.528,1.903,2.574,3.585,2.334,-0.066
160.5,12.08,3.907,2.238,0.05,2.568,3.321,4.492,1.902,2.574,3.558,2.334,-0.052
161,12.08,3.875,2.238,0.05,2.568,3.294,4.457,1.902,2.573,3.532,2.333,-0.039
161.5,12.1,3.858,2.237,0.05,2.568,3.279,4.436,1.902,2.573,3.516,2.333,-0.031
162,12.1,3.872,2.238,0.05,2.568,3.292,4.453,1.902,2.573,3.529,2.333,-0.037
162.5,12.13,3.887,2.238,0.05,2.568,3.304,4.47,1.902,2.573,3.542,2.333,-0.044
163,12.13,3.902,2.238,0.05,2.568,3.316,4.487,1.902,2.574,3.554,2.334,-0.05
163.5,12.16,3.915,2.238,0.05,2.568,3.328,4.502,1.902,2.574,3.566,2.334,-0.056
164,12.16,3.915,2.238,0.05,2.568,3.328,4.502,1.902,2.574,3.566,2.334,-0.056
164.5,12.18,3.915,2.238,0.05,2.568,3.328,4.502,1.902,2.574,3.566,2.334,-0.056
165,12.18,3.915,2.238,0.05,2.568,3.328,4.502,1.902,2.574,3.566,2.334,-0.056
165.5,12.22,3.915,2.238,0.05,2.568,3.328,4.502,1.902,2.574,3.566,2.334,-0.056
166,12.22,3.921,2.238,0.05,2.568,3.333,4.509,1.902,2.574,3.571,2.334,-0.058
166.5,12.25,3.946,2.238,0.05,2.568,3.354,4.538,1.903,2.574,3.593,2.334,-0.069
167,12.25,3.972,2.239,0.05,2.568,3.376,4.567,1.903,2.574,3.615,2.334,-0.08
167.5,12.28,3.95,2.238,0.05,2.568,3.357,4.542,1.903,2.574,3.596,2.334,-0.071
168,12.28,3.916,2.238,0.05,2.568,3.329,4.504,1.902,2.574,3.567,2.334,-0.056
168.5,12.3,3.9,2.238,0.05,2.568,3.315,4.485,1.902,2.574,3.553,2.334,-0.049
169,12.3,3.893,2.238,0.05,2.568,3.309,4.477,1.902,2.573,3.546,2.333,-0.046
169.5,12.33,3.885,2.238,0.05,2.568,3.302,4.467,1.902,2.573,3.54,2.333,-0.043
170,12.33,3.843,2.237,0.05,2.568,3.267,4.42,1.902,2.573,3.504,2.333,-0.025
170.5,12.35,3.847,2.237,0.05,2.568,3.27,4.425,1.902,2.573,3.507,2.333,-0.026
171,12.35,3.895,2.238,0.05,2.568,3.311,4.479,1.902,2.574,3.548,2.333,-0.047
171.5,12.38,3.942,2.238,0.05,2.568,3.351,4.534,1.903,2.574,3.589,2.334,-0.068
172,12.38,3.953,2.238,0.05,2.568,3.36,4.546,1.903,2.574,3.598,2.334,-0.072
172.5,12.4,3.951,2.238,0.05,2.568,3.358,4.544,1.903,2.574,3.597,2.334,-0.071
173,12.4,3.924,2.238,0.05,2.568,3.336,4.513,1.902,2.574,3.574,2.334,-0.06
173.5,12.43,3.837,2.237,0.05,2.568,3.261,4.412,1.902,2.573,3.498,2.333,-0.022
174,12.43,3.749,2.236,0.05,2.568,3.187,4.312,1.901,2.572,3.422,2.332,0.016
174.5,12.46,3.685,2.235,0.05,2.568,3.133,4.238,1.9,2.571,3.367,2.331,0.044
175,12.46,3.738,2.236,0.05,2.568,3.177,4.299,1.901,2.571,3.412,2.332,0.021
175.5,12.48,3.791,2.237,0.05,2.568,3.222,4.36,1.901,2.572,3.458,2.332,-0.002
176,12.48,3.844,2.237,0.05,2.568,3.267,4.42,1.902,2.573,3.504,2.333,-0.025
176.5,12.51,3.879,2.238,0.05,2.568,3.297,4.461,1.902,2.573,3.534,2.333,-0.04
177,12.51,3.879,2.238,0.05,2.568,3.297,4.461,1.902,2.573,3.534,2.333,-0.04
177.5,12.53,3.879,2.238,0.05,2.568,3.297,4.46,1.902,2.573,3.534,2.333,-0.04
178,12.53,3.879,2.238,0.05,2.568,3.297,4.46,1.902,2.573,3.534,2.333,-0.04
178.5,12.56,3.879,2.238,0.05,2.568,3.297,4.46,1.902,2.573,3.534,2.333,-0.04
179,12.56,3.864,2.237,0.05,2.568,3.284,4.443,1.902,2.573,3.521,2.333,-0.033
179.5,12.59,3.828,2.237,0.05,2.568,3.254,4.402,1.902,2.573,3.49,2.333,-0.018
180,12.59,3.799,2.237,0.05,2.568,3.229,4.369,1.901,2.572,3.465,2.332,-0.005
180.5,12.61,3.797,2.237,0.05,2.568,3.227,4.366,1.901,2.572,3.463,2.332,-0.004
181,12.61,3.794,2.237,0.05,2.568,3.225,4.363,1.901,2.572,3.461,2.332,-0.003
181.5,12.64,3.792,2.237,0.05,2.568,3.223,4.361,1.901,2.572,3.459,2.332,-0.002
182,12.64,3.803,2.237,0.05,2.568,3.232,4.373,1.901,2.572,3.469,2.332,-0.007
182.5,12.67,3.853,2.237,0.05,2.568,3.275,4.431,1.902,2.573,3.512,2.333,-0.029
183,12.67,3.898,2.238,0.05,2.568,3.314,4.483,1.902,2.574,3.551,2.333,-0.048
183.5,12.69,3.872,2.238,0.05,2.568,3.291,4.452,1.902,2.573,3.528,2.333,-0.037
184,12.69,3.845,2.237,0.05,2.568,3.268,4.422,1.902,2.573,3.505,2.333,-0.025
184.5,12.71,3.832,2.237,0.05,2.568,3.257,4.407,1.902,2.573,3.494,2.333,-0.02
185,12.71,3.828,2.237,0.05,2.568,3.254,4.403,1.902,2.573,3.491,2.333,-0.018
185.5,12.73,3.819,2.237,0.05,2.568,3.246,4.392,1.901,2.573,3.482,2.333,-0.014
186,12.73,3.773,2.236,0.05,2.568,3.207,4.339,1.901,2.572,3.443,2.332,0.006
186.5,12.76,3.727,2.236,0.05,2.568,3.168,4.286,1.901,2.571,3.403,2.332,0.026
187,12.76,3.754,2.236,0.05,2.568,3.191,4.317,1.901,2.572,3.426,2.332,0.014
187.5,12.78,3.795,2.237,0.05,2.568,3.226,4.364,1.901,2.572,3.462,2.332,-0.003
188,12.78,3.836,2.237,0.05,2.568,3.261,4.411,1.902,2.573,3.497,2.333,-0.021
188.5,12.81,3.867,2.238,0.05,2.568,3.287,4.448,1.902,2.573,3.525,2.333,-0.035
189,12.81,3.798,2.237,0.05,2.568,3.228,4.368,1.901,2.572,3.465,2.332,-0.005
189.5,12.84,3.729,2.236,0.05,2.568,3.169,4.288,1.901,2.571,3.404,2.332,0.025
190,12.84,3.753,2.236,0.05,2.568,3.19,4.316,1.901,2.572,3.425,2.332,0.015
190.5,12.87,3.792,2.237,0.05,2.568,3.223,4.361,1.901,2.572,3.459,2.332,-0.002
191,12.87,3.831,2.237,0.05,2.568,3.256,4.406,1.902,2.573,3.493,2.333,-0.019
191.5,12.89,3.87,2.238,0.05,2.568,3.289,4.45,1.902,2.573,3.527,2.333,-0.036
192,12.89,3.889,2.238,0.05,2.568,3.305,4.472,1.902,2.573,3.543,2.333,-0.044
192.5,12.91,3.842,2.237,0.05,2.568,3.266,4.419,1.902,2.573,3.503,2.333,-0.024
193,12.91,3.796,2.237,0.05,2.568,3.227,4.365,1.901,2.572,3.463,2.332,-0.004
193.5,12.94,3.75,2.236,0.05,2.568,3.187,4.312,1.901,2.572,3.423,2.332,0.016
194,12.94,3.704,2.236,0.05,2.568,3.148,4.259,1.9,2.571,3.383,2.331,0.036
194.5,12.96,3.678,2.235,0.05,2.568,3.126,4.23,1.9,2.571,3.36,2.331,0.047
195,12.96,3.741,2.236,0.05,2.568,3.18,4.303,1.901,2.572,3.415,2.332,0.02
195.5,12.99,3.795,2.237,0.05,2.568,3.225,4.364,1.901,2.572,3.462,2.332,-0.003
196,12.99,3.762,2.236,0.05,2.568,3.198,4.327,1.901,2.572,3.434,2.332,0.011
196.5,13.02,3.771,2.236,0.05,2.568,3.206,4.337,1.901,2.572,3.441,2.332,0.007
197,13.02,3.805,2.237,0.05,2.568,3.234,4.376,1.901,2.572,3.47,2.333,-0.008
197.5,13.04,3.746,2.236,0.05,2.568,3.184,4.307,1.901,2.572,3.419,2.332,0.018
198,13.04,3.686,2.235,0.05,2.568,3.133,4.239,1.9,2.571,3.368,2.331,0.044
198.5,13.07,3.627,2.235,0.05,2.568,3.083,4.171,1.9,2.57,3.316,2.331,0.07
199,13.07,3.568,2.234,0.05,2.568,3.033,4.103,1.899,2.569,3.265,2.33,0.095
199.5,13.09,3.563,2.234,0.05,2.568,3.028,4.097,1.899,2.569,3.26,2.33,0.098
200,13.09,3.611,2.235,0.05,2.568,3.069,4.152,1.899,2.57,3.302,2.33,0.077
200.5,13.12,3.634,2.235,0.05,2.568,3.089,4.179,1.9,2.57,3.322,2.331,0.067
201,13.12,3.632,2.235,0.05,2.568,3.087,4.177,1.9,2.57,3.32,2.331,0.068
201.5,13.15,3.613,2.235,0.05,2.568,3.071,4.155,1.899,2.57,3.304,2.33,0.076
202,13.15,3.554,2.234,0.05,2.568,3.021,4.088,1.899,2.569,3.253,2.33,0.101
202.5,13.17,3.496,2.233,0.05,2.568,2.972,4.021,1.898,2.568,3.202,2.329,0.127
203,13.17,3.492,2.233,0.05,2.568,2.968,4.016,1.898,2.568,3.199,2.329,0.129
203.5,13.19,3.581,2.234,0.05,2.568,3.044,4.118,1.899,2.569,3.276,2.33,0.09
204,13.19,3.67,2.235,0.05,2.568,3.119,4.22,1.9,2.571,3.353,2.331,0.051
204.5,13.22,3.689,2.235,0.05,2.568,3.136,4.242,1.9,2.571,3.37,2.331,0.043
205,13.22,3.662,2.235,0.05,2.568,3.113,4.211,1.9,2.57,3.347,2.331,0.054
205.5,13.25,3.639,2.235,0.05,2.568,3.093,4.185,1.9,2.57,3.326,2.331,0.065
206,13.25,3.629,2.235,0.05,2.568,3.084,4.173,1.9,2.57,3.317,2.331,0.069
206.5,13.27,3.604,2.234,0.05,2.568,3.064,4.145,1.899,2.57,3.296,2.33,0.08
207,13.27,3.58,2.234,0.05,2.568,3.043,4.117,1.899,2.569,3.275,2.33,0.09
207.5,13.3,3.556,2.234,0.05,2.568,3.022,4.089,1.899,2.569,3.254,2.33,0.101
208,13.3,3.555,2.234,0.05,2.568,3.022,4.089,1.899,2.569,3.254,2.33,0.101
208.5,13.33,3.555,2.234,0.05,2.568,3.022,4.089,1.899,2.569,3.254,2.33,0.101
209,13.33,3.492,2.233,0.05,2.568,2.969,4.016,1.898,2.568,3.199,2.329,0.129
209.5,13.35,3.403,2.232,0.05,2.568,2.892,3.913,1.897,2.567,3.121,2.328,0.168
210,13.35,3.388,2.232,0.05,2.568,2.88,3.896,1.897,2.566,3.108,2.327,0.174
210.5,13.38,3.414,2.232,0.05,2.568,2.902,3.926,1.897,2.567,3.131,2.328,0.163
211,13.38,3.422,2.232,0.05,2.568,2.909,3.936,1.897,2.567,3.138,2.328,0.159
211.5,13.41,3.409,2.232,0.05,2.568,2.897,3.92,1.897,2.567,3.126,2.328,0.165
212,13.41,3.371,2.231,0.05,2.568,2.866,3.877,1.897,2.566,3.094,2.327,0.182
212.5,13.44,3.334,2.231,0.05,2.568,2.834,3.834,1.896,2.565,3.061,2.327,0.198
213,13.44,3.385,2.232,0.05,2.568,2.877,3.892,1.897,2.566,3.105,2.327,0.176
213.5,13.46,3.442,2.232,0.05,2.568,2.925,3.958,1.897,2.567,3.155,2.328,0.151
214,13.46,3.499,2.233,0.05,2.568,2.974,4.023,1.898,2.568,3.204,2.329,0.126
214.5,13.49,3.556,2.234,0.05,2.568,3.022,4.089,1.899,2.569,3.254,2.33,0.101
215,13.49,3.58,2.234,0.05,2.568,3.043,4.117,1.899,2.569,3.276,2.33,0.09
215.5,13.52,3.537,2.234,0.05,2.568,3.006,4.068,1.899,2.569,3.238,2.329,0.109
216,13.52,3.494,2.233,0.05,2.568,2.97,4.018,1.898,2.568,3.2,2.329,0.128
216.5,13.55,3.45,2.232,0.05,2.568,2.933,3.968,1.898,2.567,3.162,2.328,0.147
217,13.55,3.407,2.232,0.05,2.568,2.896,3.918,1.897,2.567,3.125,2.328,0.166
217.5,13.58,3.385,2.232,0.05,2.568,2.877,3.892,1.897,2.566,3.105,2.327,0.176
218,13.58,3.399,2.232,0.05,2.568,2.889,3.909,1.897,2.566,3.118,2.328,0.169
218.5,13.61,3.534,2.234,0.05,2.568,3.004,4.065,1.899,2.569,3.236,2.329,0.11
219,13.61,3.504,2.233,0.05,2.568,2.978,4.029,1.898,2.568,3.209,2.329,0.124
219.5,13.64,3.473,2.233,0.05,2.568,2.952,3.994,1.898,2.568,3.182,2.329,0.137
220,13.64,3.443,2.232,0.05,2.568,2.926,3.959,1.897,2.567,3.156,2.328,0.15
220.5,13.67,3.412,2.232,0.05,2.568,2.9,3.924,1.897,2.567,3.129,2.328,0.164
221,13.67,3.376,2.231,0.05,2.568,2.87,3.883,1.897,2.566,3.098,2.327,0.179
221.5,13.69,3.339,2.231,0.05,2.568,2.838,3.84,1.896,2.565,3.065,2.327,0.196
222,13.69,3.301,2.23,0.05,2.568,2.806,3.797,1.896,2.565,3.033,2.326,0.212
222.5,13.73,3.262,2.23,0.05,2.568,2.773,3.752,1.895,2.564,2.998,2.326,0.229
223,13.73,3.213,2.229,0.05,2.568,2.731,3.695,1.895,2.563,2.955,2.325,0.251
223.5,13.76,3.192,2.229,0.05,2.568,2.713,3.671,1.894,2.563,2.937,2.325,0.26
224,13.76,3.275,2.23,0.05,2.568,2.784,3.766,1.895,2.564,3.01,2.326,0.224
224.5,13.78,3.235,2.229,0.05,2.568,2.75,3.721,1.895,2.564,2.975,2.325,0.241
225,13.78,3.196,2.229,0.05,2.568,2.716,3.675,1.894,2.563,2.94,2.325,0.259
225.5,13.81,3.156,2.228,0.05,2.568,2.682,3.629,1.894,2.562,2.905,2.324,0.276
226,13.81,3.123,2.228,0.05,2.568,2.655,3.592,1.893,2.562,2.877,2.324,0.29
226.5,13.84,3.092,2.227,0.05,2.568,2.628,3.555,1.893,2.561,2.849,2.323,0.304
227,13.84,3.06,2.226,0.05,2.568,2.601,3.519,1.892,2.56,2.822,2.323,0.318
227.5,13.87,3.093,2.227,0.05,2.568,2.629,3.557,1.893,2.561,2.85,2.323,0.304
228,13.87,3.206,2.229,0.05,2.568,2.725,3.687,1.895,2.563,2.949,2.325,0.254
228.5,13.9,3.319,2.231,0.05,2.568,2.821,3.817,1.896,2.565,3.048,2.327,0.204
229,13.9,3.432,2.232,0.05,2.568,2.918,3.947,1.897,2.567,3.147,2.328,0.155
229.5,13.93,3.546,2.234,0.05,2.568,3.014,4.078,1.899,2.569,3.246,2.33,0.105
230,13.93,3.588,2.234,0.05,2.568,3.049,4.126,1.899,2.569,3.282,2.33,0.087
230.5,13.97,3.586,2.234,0.05,2.568,3.048,4.123,1.899,2.569,3.28,2.33,0.088
231,13.97,3.572,2.234,0.05,2.568,3.036,4.108,1.899,2.569,3.269,2.33,0.094
231.5,13.99,3.537,2.234,0.05,2.568,3.006,4.067,1.899,2.569,3.238,2.329,0.109
232,13.99,3.501,2.233,0.05,2.568,2.976,4.027,1.898,2.568,3.207,2.329,0.125
232.5,14.02,3.466,2.233,0.05,2.568,2.946,3.986,1.898,2.568,3.176,2.329,0.14
233,14.02,3.431,2.232,0.05,2.568,2.916,3.946,1.897,2.567,3.146,2.328,0.155
233.5,14.04,3.474,2.233,0.05,2.568,2.953,3.995,1.898,2.568,3.183,2.329,0.137
234,14.04,3.517,2.233,0.05,2.568,2.99,4.045,1.898,2.568,3.221,2.329,0.118
234.5,14.07,3.56,2.234,0.05,2.568,3.026,4.094,1.899,2.569,3.258,2.33,0.099
235,14.07,3.536,2.234,0.05,2.568,3.005,4.066,1.899,2.569,3.237,2.329,0.11
235.5,14.09,3.568,2.234,0.05,2.568,3.033,4.103,1.899,2.569,3.265,2.33,0.095
236,14.09,3.581,2.234,0.05,2.568,3.044,4.118,1.899,2.569,3.276,2.33,0.09
236.5,14.12,3.594,2.234,0.05,2.568,3.055,4.134,1.899,2.569,3.288,2.33,0.084
237,14.12,3.648,2.235,0.05,2.568,3.101,4.196,1.9,2.57,3.335,2.331,0.06
237.5,14.14,3.702,2.236,0.05,2.568,3.147,4.257,1.9,2.571,3.381,2.331,0.037
238,14.14,3.705,2.236,0.05,2.568,3.149,4.261,1.9,2.571,3.384,2.331,0.036
238.5,14.17,3.697,2.236,0.05,2.568,3.143,4.252,1.9,2.571,3.377,2.331,0.039
239,14.17,3.68,2.235,0.05,2.568,3.128,4.232,1.9,2.571,3.362,2.331,0.047
239.5,14.19,3.655,2.235,0.05,2.568,3.107,4.203,1.9,2.57,3.34,2.331,0.057
240,14.19,3.633,2.235,0.05,2.568,3.088,4.178,1.9,2.57,3.322,2.331,0.067
240.5,14.22,3.652,2.235,0.05,2.568,3.105,4.2,1.9,2.57,3.338,2.331,0.059
241,14.22,3.671,2.235,0.05,2.568,3.121,4.222,1.9,2.571,3.355,2.331,0.05
241.5,14.24,3.69,2.236,0.05,2.568,3.137,4.244,1.9,2.571,3.371,2.331,0.042
242,14.24,3.709,2.236,0.05,2.568,3.153,4.266,1.9,2.571,3.388,2.331,0.034
242.5,14.27,3.728,2.236,0.05,2.568,3.169,4.288,1.901,2.571,3.404,2.332,0.026
243,14.27,3.747,2.236,0.05,2.568,3.185,4.309,1.901,2.572,3.42,2.332,0.017
243.5,14.29,3.766,2.236,0.05,2.568,3.201,4.331,1.901,2.572,3.437,2.332,0.009
244,14.29,3.785,2.237,0.05,2.568,3.218,4.353,1.901,2.572,3.453,2.332,0.001
244.5,14.32,3.754,2.236,0.05,2.568,3.191,4.317,1.901,2.572,3.426,2.332,0.014
245,14.32,3.706,2.236,0.05,2.568,3.15,4.262,1.9,2.571,3.385,2.331,0.035
245.5,14.34,3.659,2.235,0.05,2.568,3.11,4.208,1.9,2.57,3.344,2.331,0.056
246,14.34,3.611,2.235,0.05,2.568,3.07,4.153,1.899,2.57,3.302,2.33,0.077
246.5,14.36,3.596,2.234,0.05,2.568,3.056,4.135,1.899,2.569,3.289,2.33,0.083
247,14.36,3.612,2.235,0.05,2.568,3.07,4.154,1.899,2.57,3.303,2.33,0.076
247.5,14.38,3.629,2.235,0.05,2.568,3.084,4.173,1.9,2.57,3.317,2.331,0.069
248,14.38,3.645,2.235,0.05,2.568,3.098,4.192,1.9,2.57,3.332,2.331,0.062
248.5,14.4,3.661,2.235,0.05,2.568,3.112,4.21,1.9,2.57,3.346,2.331,0.055
249,14.4,3.656,2.235,0.05,2.568,3.107,4.204,1.9,2.57,3.341,2.331,0.057
249.5,14.43,3.62,2.235,0.05,2.568,3.077,4.163,1.899,2.57,3.31,2.33,0.073
250,14.43,3.584,2.234,0.05,2.568,3.047,4.122,1.899,2.569,3.279,2.33,0.088
250.5,14.45,3.549,2.234,0.05,2.568,3.016,4.081,1.899,2.569,3.248,2.33,0.104
251,14.45,3.513,2.233,0.05,2.568,2.986,4.04,1.898,2.568,3.217,2.329,0.12
251.5,14.48,3.502,2.233,0.05,2.568,2.977,4.028,1.898,2.568,3.208,2.329,0.124
252,14.48,3.533,2.234,0.05,2.568,3.003,4.063,1.899,2.569,3.234,2.329,0.111
252.5,14.51,3.564,2.234,0.05,2.568,3.029,4.098,1.899,2.569,3.261,2.33,0.097
253,14.51,3.594,2.234,0.05,2.568,3.055,4.134,1.899,2.569,3.288,2.33,0.084
253.5,14.53,3.625,2.235,0.05,2.568,3.081,4.169,1.899,2.57,3.314,2.33,0.071
254,14.53,3.6,2.234,0.05,2.568,3.06,4.14,1.899,2.57,3.292,2.33,0.082
254.5,14.55,3.546,2.234,0.05,2.568,3.014,4.077,1.899,2.569,3.245,2.33,0.105
255,14.55,3.492,2.233,0.05,2.568,2.968,4.015,1.898,2.568,3.198,2.329,0.129
255.5,14.58,3.438,2.232,0.05,2.568,2.922,3.953,1.897,2.567,3.151,2.328,0.152
256,14.58,3.406,2.232,0.05,2.568,2.895,3.917,1.897,2.567,3.124,2.328,0.166
256.5,14.6,3.381,2.231,0.05,2.568,2.874,3.888,1.897,2.566,3.102,2.327,0.177
257,14.6,3.366,2.231,0.05,2.568,2.861,3.871,1.897,2.566,3.089,2.327,0.184
257.5,14.62,3.363,2.231,0.05,2.568,2.859,3.868,1.897,2.566,3.087,2.327,0.185
258,14.62,3.36,2.231,0.05,2.568,2.856,3.864,1.896,2.566,3.084,2.327,0.186
258.5,14.65,3.357,2.231,0.05,2.568,2.854,3.861,1.896,2.566,3.081,2.327,0.188
259,14.65,3.354,2.231,0.05,2.568,2.851,3.857,1.896,2.566,3.079,2.327,0.189
259.5,14.67,3.351,2.231,0.05,2.568,2.849,3.854,1.896,2.566,3.076,2.327,0.19
