%     Depth;Temperature_;TC_m;RHOC_m;PHI;    RHOB;TC_m_min;TC_m_max;RHOC_m_miD;RHOC_m_max;    TC.log;      RHOC.log;       RHP;;
%         m;          °C;W/(mK);kJ/(m³K);n/n;g/cm³;    W/(mK);    W/(mK);kJ/(m³K);kJ/(m³K);    W/(mK);   kJ/(m³K);     µW/m³;;
106;;3.370;2.021;0.258;2.268;2.865;3.876;1.718;2.324;2.268;2.595;0.378144762;;
106.5;;3.367;2.040;0.259;2.268;2.862;3.872;1.734;2.346;2.221;2.608;0.383462857;;
107;;3.386;2.056;0.259;2.267;2.878;3.894;1.748;2.365;2.222;2.625;0.389034333;;
107.5;;3.367;2.071;0.259;2.266;2.862;3.872;1.761;2.382;2.266;2.636;0.391819762;;
108;;3.368;2.085;0.260;2.266;2.863;3.874;1.772;2.398;2.276;2.649;0.394731476;;
108.5;;3.374;2.097;0.261;2.263;2.868;3.880;1.783;2.412;2.118;2.669;0.39764319;;
109;;3.360;2.109;0.263;2.261;2.856;3.865;1.793;2.425;2.085;2.684;0.399415667;;
109.5;;3.365;2.120;0.264;2.259;2.861;3.870;1.802;2.438;2.155;2.686;0.400935429;;
110;;3.366;2.129;0.265;2.256;2.861;3.871;1.810;2.448;2.002;2.687;0.404606714;;
110.5;;3.360;2.137;0.267;2.254;2.856;3.864;1.817;2.458;2.058;2.694;0.407645524;;
111;;3.371;2.143;0.268;2.252;2.865;3.876;1.822;2.465;2.173;2.696;0.412203333;;
111.5;;3.352;2.149;0.269;2.250;2.849;3.855;1.826;2.471;2.030;2.702;0.417394286;;
112;;3.339;2.154;0.271;2.247;2.838;3.840;1.831;2.477;2.168;2.698;0.421699429;;
112.5;;3.335;2.158;0.272;2.245;2.835;3.836;1.835;2.482;1.992;2.700;0.425244381;;
113;;3.318;2.163;0.273;2.243;2.821;3.816;1.838;2.487;1.992;2.699;0.427776333;;
113.5;;3.296;2.166;0.274;2.242;2.801;3.790;1.841;2.491;2.125;2.704;0.430941476;;
114;;3.296;2.170;0.274;2.241;2.801;3.790;1.845;2.496;2.055;2.708;0.435119524;;
114.5;;3.308;2.176;0.274;2.241;2.811;3.804;1.850;2.503;2.046;2.711;0.436765667;;
115;;3.289;2.184;0.274;2.242;2.796;3.782;1.856;2.511;2.074;2.705;0.437272429;;
115.5;;3.292;2.194;0.273;2.243;2.798;3.785;1.865;2.523;2.144;2.705;0.437905619;;
116;;3.307;2.205;0.273;2.244;2.811;3.802;1.874;2.536;2.196;2.702;0.438159048;;
116.5;;3.288;2.218;0.272;2.245;2.795;3.782;1.886;2.551;1.982;2.705;0.436639952;;
117;;3.283;2.232;0.271;2.247;2.791;3.776;1.898;2.567;1.989;2.710;0.435880429;;
117.5;;3.264;2.249;0.270;2.249;2.774;3.753;1.911;2.586;2.080;2.719;0.434614095;;
118;;3.273;2.267;0.269;2.250;2.782;3.764;1.927;2.607;1.994;2.721;0.433854524;;
118.5;;3.291;2.287;0.268;2.252;2.797;3.785;1.944;2.630;2.032;2.718;0.430815714;;
119;;3.298;2.308;0.267;2.253;2.803;3.793;1.962;2.655;2.090;2.750;0.429169667;;
119.5;;3.303;2.330;0.266;2.255;2.808;3.799;1.981;2.680;2.169;2.779;0.428156714;;
120;;3.301;2.353;0.265;2.257;2.806;3.796;2.000;2.706;2.012;2.807;0.42600381;;
120.5;;3.291;2.376;0.264;2.258;2.798;3.785;2.020;2.733;2.069;2.839;0.423092048;;
121;;3.286;2.400;0.263;2.260;2.793;3.779;2.040;2.759;2.251;2.864;0.419547095;;
121.5;;3.269;2.423;0.262;2.261;2.779;3.759;2.060;2.787;2.068;2.887;0.413722952;;
122;;3.302;2.447;0.263;2.261;2.806;3.797;2.080;2.814;2.045;2.907;0.40815219;;
122.5;;3.308;2.472;0.263;2.260;2.812;3.804;2.101;2.842;2.047;2.937;0.40296119;;
123;;3.317;2.497;0.263;2.260;2.820;3.815;2.122;2.871;2.151;2.966;0.397263381;;
123.5;;3.323;2.522;0.264;2.259;2.825;3.822;2.144;2.901;2.244;2.987;0.393591429;;
124;;3.363;2.549;0.267;2.254;2.859;3.868;2.166;2.931;2.269;3.019;0.385741381;;
124.5;;3.360;2.574;0.269;2.249;2.856;3.864;2.188;2.960;2.176;3.037;0.377765048;;
125;;3.355;2.598;0.272;2.245;2.852;3.858;2.208;2.988;2.097;3.054;0.371687429;;
125.5;;3.365;2.622;0.276;2.238;2.861;3.870;2.229;3.015;2.045;3.064;0.366116;;
